timestamp,BTCUSDT,ETHUSDT,SOLUSDT,TRBUSDT,ICPUSDT,BNBUSDT
2025-01-01 00:00:00,93488.83,3339.88,191.14,63.38,9.855,701.07
2025-01-01 01:00:00,93576.0,3337.78,189.31,63.5,9.878,702.31
2025-01-01 02:00:00,94401.13,3363.69,192.54,64.42,10.062,709.11
2025-01-01 03:00:00,93607.74,3346.54,190.7,63.52,9.953,708.35
2025-01-01 04:00:00,94098.9,3362.61,191.59,63.62,9.996,709.55
2025-01-01 05:00:00,93838.04,3355.2,190.42,63.18,9.919,705.58
2025-01-01 06:00:00,93553.91,3341.14,189.48,62.68,9.864,704.77
2025-01-01 07:00:00,93792.02,3345.41,190.15,63.06,9.928,705.57
2025-01-01 08:00:00,93757.57,3346.61,190.29,63.01,9.915,706.6
2025-01-01 09:00:00,93684.11,3347.11,190.06,62.98,9.933,703.75
2025-01-01 10:00:00,93428.47,3337.0,189.4,62.26,9.822,703.06
2025-01-01 11:00:00,93413.07,3334.83,189.19,62.1,9.812,703.74
2025-01-01 12:00:00,93326.24,3326.69,190.25,61.86,9.771,707.22
2025-01-01 13:00:00,93444.65,3341.01,191.35,62.13,9.856,707.57
2025-01-01 14:00:00,93820.75,3347.46,190.94,62.32,9.97,706.29
2025-01-01 15:00:00,94031.77,3343.37,190.24,62.3,9.996,710.22
2025-01-01 16:00:00,94175.89,3345.86,190.88,62.14,10.003,708.02
2025-01-01 17:00:00,94432.94,3352.93,191.91,62.5,10.209,708.11
2025-01-01 18:00:00,94090.5,3338.68,190.52,62.14,10.198,704.99
2025-01-01 19:00:00,94143.84,3343.71,190.63,62.46,10.303,705.61
2025-01-01 20:00:00,94340.06,3348.57,191.69,63.01,10.425,706.02
2025-01-01 21:00:00,94627.08,3356.56,193.1,63.23,10.518,707.85
2025-01-01 22:00:00,94786.23,3360.41,194.36,63.46,10.621,708.21
2025-01-01 23:00:00,94978.48,3368.39,194.68,63.73,10.524,707.97
2025-01-02 00:00:00,94802.99,3361.63,194.54,63.89,10.505,707.58
2025-01-02 01:00:00,94591.78,3360.39,194.28,63.91,10.505,707.84
2025-01-02 02:00:00,95128.59,3389.91,196.25,64.7,10.659,702.1
2025-01-02 03:00:00,94862.73,3383.93,197.7,64.52,10.624,701.53
2025-01-02 04:00:00,95234.37,3398.49,199.41,64.8,10.691,702.11
2025-01-02 05:00:00,95010.34,3388.54,198.55,64.66,10.621,702.17
2025-01-02 06:00:00,95708.07,3417.69,204.47,65.36,10.742,707.49
2025-01-02 07:00:00,95596.48,3412.4,204.63,65.32,10.68,706.5
2025-01-02 08:00:00,95575.0,3410.37,205.36,65.04,10.679,704.88
2025-01-02 09:00:00,95822.01,3420.06,205.91,65.09,10.708,706.95
2025-01-02 10:00:00,96150.0,3437.92,206.79,65.23,10.751,710.49
2025-01-02 11:00:00,96755.51,3467.94,207.38,65.84,10.822,715.08
2025-01-02 12:00:00,96708.0,3468.81,206.98,65.68,10.856,712.5
2025-01-02 13:00:00,96733.0,3471.18,208.52,65.45,10.775,713.27
2025-01-02 14:00:00,96850.01,3480.48,208.4,65.36,10.774,713.96
2025-01-02 15:00:00,96458.17,3465.86,208.16,65.12,10.703,711.4
2025-01-02 16:00:00,97256.48,3495.15,208.19,65.26,10.796,711.9
2025-01-02 17:00:00,96455.01,3463.52,206.77,64.66,10.642,704.55
2025-01-02 18:00:00,97229.75,3469.54,207.44,65.14,10.751,706.44
2025-01-02 19:00:00,96757.57,3450.42,206.04,64.74,10.67,705.0
2025-01-02 20:00:00,97319.74,3465.23,206.43,65.04,10.727,706.4
2025-01-02 21:00:00,97317.74,3463.18,206.69,64.7,10.661,704.81
2025-01-02 22:00:00,97306.46,3453.0,206.83,64.47,10.644,706.11
2025-01-02 23:00:00,97212.69,3454.2,206.53,64.26,10.666,705.99
2025-01-03 00:00:00,96911.04,3440.6,206.6,63.82,10.625,705.75
2025-01-03 01:00:00,96984.79,3455.68,208.3,64.43,10.69,706.24
2025-01-03 02:00:00,96825.83,3449.22,207.16,64.0,10.685,704.08
2025-01-03 03:00:00,96985.47,3464.83,206.87,64.1,10.761,704.61
2025-01-03 04:00:00,96966.85,3457.96,206.87,64.08,10.812,703.88
2025-01-03 05:00:00,97062.3,3470.17,208.05,64.26,11.193,705.2
2025-01-03 06:00:00,96813.49,3458.39,207.72,63.74,10.94,704.72
2025-01-03 07:00:00,96765.35,3455.98,208.87,63.67,10.892,705.31
2025-01-03 08:00:00,96539.49,3442.59,207.77,63.41,10.908,702.84
2025-01-03 09:00:00,96304.0,3433.27,207.95,63.09,10.866,700.72
